City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,al ghayzah,16.2079,52.176,27.42,80,100,3.78,YE,1683421022
1,fale old settlement,-9.3852,-171.2468,28.96,76,6,5.05,TK,1683421022
2,sitka,57.0531,-135.33,10.94,58,40,5.66,US,1683420534
3,longyearbyen,78.2186,15.6401,-2.09,80,75,2.57,SJ,1683421022
4,tommot,58.9564,126.2925,3.9,97,100,5.38,RU,1683421022
5,anadyr,64.75,177.4833,-0.72,74,20,6.0,RU,1683421023
6,port-aux-francais,-49.35,70.2167,3.89,68,100,13.58,TF,1683421023
7,xai-xai,-25.0519,33.6442,19.38,88,0,3.74,MZ,1683421023
8,adamstown,-25.066,-130.1015,22.17,81,99,5.3,PN,1683421023
9,bilibino,68.0546,166.4372,-1.17,93,100,1.72,RU,1683421023
10,george town,5.4112,100.3354,27.96,94,20,1.54,MY,1683421023
11,el calafate,-50.3408,-72.2768,5.51,70,1,3.86,AR,1683421023
12,danjiangkou,32.5428,111.5086,17.02,60,100,1.32,CN,1683421024
13,tura,25.5198,90.2201,26.02,54,0,2.1,IN,1683421024
14,yellowknife,62.456,-114.3525,19.29,30,20,6.69,CA,1683420951
15,kasaragod,12.5,75.0,26.23,77,97,1.82,IN,1683421024
16,nuku'alofa,-21.1333,-175.2,27.19,83,40,6.69,TO,1683421024
17,blackmans bay,-43.0167,147.3167,9.85,69,79,4.17,AU,1683421024
18,waitangi,-43.9535,-176.5597,16.01,89,100,0.89,NZ,1683421024
19,puerto natales,-51.7236,-72.4875,5.36,82,35,3.24,CL,1683421025
20,udachny,66.4167,112.4,-9.75,72,100,8.69,RU,1683421025
21,afaahiti,-17.75,-149.2833,29.93,84,74,7.02,PF,1683421025
22,enewetak,11.3474,162.3373,27.27,83,94,8.09,MH,1683421025
23,ghat,24.9647,10.1728,23.86,17,5,1.85,LY,1683421025
24,susanville,40.4163,-120.653,9.34,53,20,6.17,US,1683420788
25,port mathurin,-19.6833,63.4167,26.11,72,8,9.14,MU,1683420915
26,edinburgh of the seven seas,-37.0676,-12.3116,15.42,71,83,6.59,SH,1683421026
27,haiku-pauwela,20.9219,-156.3051,27.01,56,40,11.32,US,1683421026
28,ozarow mazowiecki,52.2104,20.7972,7.14,91,75,4.12,PL,1683421026
29,bethel,41.3712,-73.414,18.47,54,0,1.54,US,1683420743
30,kalmunai,7.4167,81.8167,25.92,84,100,1.85,LK,1683421026
31,malanje,-9.5402,16.341,18.13,92,42,0.2,AO,1683421027
32,grytviken,-54.2811,-36.5092,2.97,81,78,6.31,GS,1683421027
33,nieuw nickerie,5.95,-56.9833,26.19,87,96,4.21,SR,1683421027
34,hawaiian paradise park,19.5933,-154.9731,25.73,67,75,6.69,US,1683421027
35,papatowai,-46.5619,169.4708,15.19,74,0,3.35,NZ,1683421027
36,xique xique,-10.8217,-42.7311,27.21,57,72,4.99,BR,1683421027
37,kismayo,-0.3582,42.5454,26.77,80,8,4.98,SO,1683421028
38,nova sintra,14.8667,-24.7167,19.65,79,0,10.95,CV,1683421028
39,san pedro pochutla,15.7333,-96.4667,30.4,66,21,2.39,MX,1683420821
40,houghton,47.1219,-88.569,8.13,94,100,6.17,US,1683421028
41,ar ruways,24.1103,52.7306,22.43,67,5,1.93,AE,1683421028
42,paracuru,-3.41,-39.0306,25.51,87,15,3.79,BR,1683421028
43,puerto ayora,-0.7393,-90.3518,26.97,94,100,2.68,EC,1683421028
44,kone,-21.0595,164.8658,27.41,61,24,2.88,NC,1683421029
45,teguise,29.0605,-13.564,18.12,73,20,9.26,ES,1683421029
46,namibe,-15.1961,12.1522,23.12,71,6,3.21,AO,1683421029
47,olonkinbyen,70.9221,-8.7187,-1.17,89,97,5.25,SJ,1683421029
48,edson,53.5835,-116.4356,15.08,33,0,6.69,CA,1683421029
49,kenai,60.5544,-151.2583,7.05,70,0,4.63,US,1683421029
50,vilyuchinsk,52.9306,158.4028,9.15,77,90,2.89,RU,1683421030
51,jamestown,42.097,-79.2353,16.8,44,0,3.09,US,1683420743
52,koch'ang,35.4333,126.7,12.7,92,100,1.93,KR,1683421030
53,stanley,54.868,-1.6985,12.1,92,100,1.37,GB,1683421030
54,ribeira grande,38.5167,-28.7,18.21,97,100,13.41,PT,1683421030
55,trogir,43.5125,16.2517,14.33,88,0,1.54,HR,1683421030
56,east london,-33.0153,27.9116,18.22,74,100,4.62,ZA,1683421030
57,weno,7.4515,151.8468,30.97,79,40,2.06,FM,1683421031
58,puerto baquerizo moreno,-0.9,-89.6,26.65,83,79,4.09,EC,1683420746
